,probe_cc,total,confirmed_count,anomaly_count,strict_rate,loose_rate
197,SY,9919,1.0,1.0,0.00010081661457808247,0.00020163322915616494
198,SZ,43,1.0,1.0,0.023255813953488372,0.046511627906976744
199,TC,25,,,,
200,TD,429,,,,
201,TG,1429,,,,
202,TH,8844,1.0,1.0,0.00011307100859339665,0.0002261420171867933
203,TJ,1448,1.0,1.0,0.0006906077348066298,0.0013812154696132596
204,TL,261,1.0,1.0,0.0038314176245210726,0.007662835249042145
205,TM,7910,1.0,1.0,0.00012642225031605562,0.00025284450063211124
206,TN,18867,1.0,1.0,5.300259712725924e-05,0.00010600519425451848
207,TO,6,,,,
208,TR,61931,1.0,1.0,1.614700230902133e-05,3.229400461804266e-05
209,TT,480,1.0,1.0,0.0020833333333333333,0.004166666666666667
210,TV,2,,,,
211,TW,22247,1.0,1.0,4.494988088281566e-05,8.989976176563132e-05
212,TZ,629,1.0,1.0,0.001589825119236884,0.003179650238473768
213,UA,67090,1.0,1.0,1.4905351021016545e-05,2.981070204203309e-05
214,UG,1628,1.0,1.0,0.0006142506142506142,0.0012285012285012285
215,US,585094,1.0,1.0,1.7091270804349386e-06,3.418254160869877e-06
216,UY,1481,1.0,1.0,0.0006752194463200541,0.0013504388926401081
217,UZ,10683,1.0,1.0,9.360666479453337e-05,0.00018721332958906674
218,VA,6,1.0,1.0,0.16666666666666666,0.3333333333333333
219,VC,36,,,,
220,VE,20761,1.0,1.0,4.816723664563364e-05,9.633447329126728e-05
221,VG,14,,,,
222,VI,24,1.0,1.0,0.041666666666666664,0.08333333333333333
223,VN,4279,1.0,1.0,0.00023369946249123628,0.00046739892498247256
224,VU,127,1.0,1.0,0.007874015748031496,0.015748031496062992
225,WF,12,,,,
226,WS,55,,,,
227,YE,13528,1.0,1.0,7.392075694855116e-05,0.00014784151389710232
228,YT,17,,,,
229,ZA,14835,1.0,1.0,6.740815638692282e-05,0.00013481631277384565
230,ZM,1554,1.0,1.0,0.0006435006435006435,0.001287001287001287
231,ZW,3847,1.0,1.0,0.0002599428125812321,0.0005198856251624642
232,ZZ,247305,1.0,1.0,4.043589899112432e-06,8.087179798224864e-06
